291,97,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0
69,201,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0
90,63,304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,45,0,0,0,0,0
129,51,0,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,21,182,0,0,0
134,54,1,21,241,0,0,18,0,1,0,0,0,0,0,0,0,0,18,0,14,0,0,6
102,58,0,26,231,0,0,29,0,0,0,0,0,0,0,0,0,0,10,0,5,0,0,2
116,41,0,20,269,0,0,34,1,0,0,0,0,0,0,0,0,0,26,0,8,0,0,2
97,51,1,25,255,0,0,28,0,0,0,0,0,0,0,0,0,0,19,0,6,0,0,3
123,55,0,66,16,0,0,0,0,1,0,0,0,1,0,0,0,0,21,0,16,0,0,207
125,51,0,39,0,0,0,0,0,203,0,0,0,1,0,0,3,0,14,0,29,0,0,20
96,45,0,54,0,0,0,0,0,59,0,0,0,6,0,0,16,0,17,0,12,0,0,178
118,55,0,68,0,0,0,0,0,89,0,0,0,7,0,0,10,0,19,0,24,0,0,131
116,48,1,64,0,0,0,0,0,34,0,0,0,1,0,0,17,0,20,0,11,0,0,196
106,50,0,58,0,0,0,0,0,45,0,0,0,3,0,0,6,0,16,0,18,0,0,200
123,36,0,69,0,0,0,0,0,54,0,0,0,6,0,0,10,0,11,0,19,0,0,152
120,46,0,51,1,0,0,0,0,46,0,0,0,4,0,0,17,0,16,0,21,0,0,138
125,47,2,62,0,0,0,0,0,58,0,0,0,3,0,0,15,0,14,0,22,0,0,165
90,41,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,265,0,0,0,0,0
69,39,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,353,0,0,0,0,0
123,36,2,23,0,0,0,0,0,1,0,0,0,0,0,0,0,0,13,62,232,0,0,0
120,52,1,15,0,0,0,0,0,2,0,0,0,0,0,0,0,0,22,61,207,0,0,0
115,37,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2,11,322,0,0
113,39,0,7,4,0,0,2,0,0,0,0,0,0,0,0,0,0,20,0,7,8,310,0
108,46,0,100,1,0,0,0,0,4,0,0,0,2,0,0,5,0,20,0,12,0,0,233
