15552,640,468,172,481,42,0,693,0,112,0,76,23,0,144,0,22,59,1261,0,373,619,557,0
609,14407,1356,134,454,42,0,678,0,114,0,80,20,0,148,0,18,93,1699,0,327,607,507,1
325,1838,14000,142,428,33,1,624,0,116,0,64,14,0,155,0,24,122,1918,0,345,613,532,0
11,41,29,16097,676,49,0,1101,0,186,0,79,38,0,302,0,34,6,369,2,509,770,990,5
6,33,33,314,14286,328,5,1274,94,324,0,104,112,0,298,0,45,4,403,0,490,871,2167,103
11,26,32,379,999,13181,142,1555,116,294,1,94,136,0,292,1,51,2,374,1,520,857,2150,80
8,33,32,329,1068,1292,11589,1840,116,317,1,98,133,0,303,0,38,3,382,1,551,862,2207,91
7,41,36,339,1027,1309,3808,9696,124,305,1,109,125,0,333,0,49,2,357,1,511,855,2178,81
6,38,37,384,900,297,12,1218,13096,470,30,155,320,40,351,0,55,6,376,1,499,790,2074,139
13,33,28,336,757,134,1,1190,165,13732,62,242,328,58,384,9,82,3,412,1,489,796,1948,91
8,33,24,337,778,169,3,1153,542,1237,10542,516,573,836,452,93,113,5,396,1,482,843,2059,99
14,45,31,337,789,127,2,1166,310,1847,5083,6229,496,346,458,46,169,3,407,0,446,830,1998,115
7,39,25,340,855,162,2,1156,684,860,117,275,12126,152,488,23,109,5,377,2,502,834,2014,140
5,30,39,358,849,169,7,1160,718,1130,293,397,574,11031,478,117,109,5,384,1,476,809,2034,121
12,26,29,312,828,173,2,1157,334,1205,222,581,714,1444,5155,1496,3827,2,383,1,489,811,1983,108
4,39,33,363,847,135,2,1169,454,1041,1779,843,794,4184,1179,3950,635,2,389,2,476,825,2035,114
6,43,21,369,744,145,1,1175,303,1208,262,731,739,981,3663,1418,5630,8,418,1,491,803,2020,114
96,223,346,148,479,34,0,673,1,93,0,56,14,0,147,0,15,6390,11162,1,292,597,527,0
92,209,355,160,426,38,1,650,0,109,0,54,18,0,150,0,23,2997,14587,1,350,589,484,1
3,20,19,196,522,24,0,729,0,102,0,71,21,0,207,0,27,5,303,12532,5010,997,505,1
1,22,26,185,540,33,1,740,0,109,0,47,17,0,209,0,27,3,310,3173,14336,1008,506,1
3,34,14,143,491,42,0,701,0,122,0,40,25,0,222,0,36,4,324,3,613,17955,522,0
3,35,33,312,759,77,1,1142,1,206,0,88,54,0,268,0,42,6,374,0,493,843,16546,11
9,43,32,369,821,235,5,1170,68,433,3,104,177,1,319,0,50,1,366,1,505,825,1928,13829
